Noeud depart;Noeud arrivee;Ligne ouverte?;R(pu);X(pu);Imax(A)
70;15;0;0.0517345926800472;0.0253600944510036;346
15;22;0;0.0163676178477079;0.00802334208220975;309
22;23;0;0.0534687131050768;0.0262101534828808;346
23;24;0;0.0353567886658796;0.017331759149941;346
24;25;0;0.0176783943329398;0.00866587957497049;346
25;26;0;0.0176783943329398;0.00866587957497049;346
26;27;0;0.0353567886658796;0.017331759149941;346
27;28;0;0.0353567886658796;0.017331759149941;346
28;52;1;0.0839935013634564;0.0411732849820865;309
51;52;0;0.0689794569067299;0.0338134592680049;346
51;50;0;0.0689794569067299;0.0338134592680049;346
50;56;0;0.0167961620017146;0.00823341274593854;309
56;59;0;0.0150795989226432;0.00739196025619765;309
59;57;0;0.0166046858807141;0.00813955190231083;309
57;69;0;0.0168595041322314;0.00826446280991735;309
70;16;0;0.0410988237293021;0.0201464822202461;309
16;17;0;0.0689794569067299;0.0338134592680049;346
17;18;0;0.043112160566706;0.021133412042503;346
18;19;0;0.0379097992916175;0.0185832349468713;346
19;20;0;0.0534687131050768;0.0262101534828808;346
20;21;0;0.0223990554899646;0.0109799291617473;346
21;63;0;0.0192412668673117;0.00943199356240771;309
63;62;0;0.0530351829988194;0.0259976387249115;346
62;55;0;0.0197335436511306;0.00967330571133854;309
55;54;0;0.0517345926800472;0.0253600944510036;346
54;53;0;0.0517345926800472;0.0253600944510036;346
53;60;0;0.0222711433221411;0.0109172271186966;309
60;61;0;0.038873199527745;0.0190554899645809;346
61;64;1;0.0353567886658796;0.017331759149941;346
64;65;0;0.0176783943329398;0.00866587957497049;346
65;66;0;0.0353567886658796;0.017331759149941;346
66;45;0;0.0256380900037363;0.0125676911783021;309
45;44;0;0.0178623243821698;0.00875604136380872;309
44;69;0;0.0406030627119608;0.0199034621137063;309
70;10;0;0.0407428327043519;0.0199719768158588;309
10;11;0;0.0353567886658796;0.017331759149941;346
11;12;0;0.0441719008264463;0.0216528925619835;346
12;13;0;0.0264935064935065;0.012987012987013;346
13;14;0;0.0636325855962218;0.0311924439197166;346
14;37;0;0.0332521398045989;0.0163000685316661;309
37;36;0;0.0689794569067299;0.0338134592680049;346
36;35;0;0.0517345926800472;0.0253600944510036;346
35;46;0;0.0098667718255653;0.00483665285566927;309
46;34;0;0.0176783943329398;0.00866587957497049;346
34;33;0;0.0362238488783943;0.0177567886658796;346
33;42;0;0.0332521398045989;0.0163000685316661;309
42;41;0;0.0424377804014168;0.0208028335301063;346
41;40;1;0.0601161747343568;0.0294687131050769;346
40;43;0;0.0101507656779902;0.00497586552842657;309
43;39;0;0.038873199527745;0.0190554899645809;346
39;38;0;0.0176783943329398;0.00866587957497049;346
38;58;0;0.0174857142857143;0.00857142857142857;346
58;69;0;0.00859669405597461;0.00421406571371305;309
70;1;0;0.0395120743079773;0.0193686638764594;309
1;2;0;0.0689794569067299;0.0338134592680049;346
2;3;0;0.0344897284533648;0.0169067296340024;346
3;9;0;0.0353567886658796;0.017331759149941;346
9;4;0;0.011801652892562;0.00578512396694215;309
4;5;0;0.0862243211334123;0.042266824085006;346
5;6;0;0.0517345926800472;0.0253600944510036;346
6;7;0;0.0344897284533648;0.0169067296340024;346
7;67;0;0.0118317208467525;0.00579986316017281;309
67;8;0;0.0185646031871538;0.00910029567997737;309
8;68;0;0.011801652892562;0.00578512396694215;309
68;49;1;0.0262044864226682;0.0128453364817001;346
49;48;0;0.0353567886658796;0.017331759149941;346
48;47;0;0.0353567886658796;0.017331759149941;346
47;32;0;0.0384548251984006;0.0188504045090199;309
32;31;0;0.0379097992916175;0.0185832349468713;346
31;30;0;0.0344897284533648;0.0169067296340024;346
30;29;0;0.0344897284533648;0.0169067296340024;346
29;69;0;0.0172448642266824;0.00845336481700117;346
